assetId,downloadAttribute,filetype,size,downloadLink,rawLink
Paper004,1K-JPG,zip,4383428,https://ambientcg.com/get?file=Paper004_1K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_1K-JPG.zip
Paper004,1K-PNG,zip,16047977,https://ambientcg.com/get?file=Paper004_1K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_1K-PNG.zip
Paper004,2K-JPG,zip,18850275,https://ambientcg.com/get?file=Paper004_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_2K-JPG.zip
Paper004,2K-PNG,zip,65412861,https://ambientcg.com/get?file=Paper004_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_2K-PNG.zip
Paper004,4K-JPG,zip,78025313,https://ambientcg.com/get?file=Paper004_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_4K-JPG.zip
Paper004,4K-PNG,zip,263601817,https://ambientcg.com/get?file=Paper004_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_4K-PNG.zip
Paper004,8K-JPG,zip,283974589,https://ambientcg.com/get?file=Paper004_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_8K-JPG.zip
Paper004,8K-PNG,zip,1071191313,https://ambientcg.com/get?file=Paper004_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Paper004_bxef5u18/Paper004_8K-PNG.zip
Ground048,12K-JPG,zip,670306658,https://ambientcg.com/get?file=Ground048_12K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_12K-JPG.zip
Ground048,12K-PNG,zip,2537887324,https://ambientcg.com/get?file=Ground048_12K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_12K-PNG.zip
Ground048,16K-JPG,zip,1066472738,https://ambientcg.com/get?file=Ground048_16K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_16K-JPG.zip
